,video_name,frame,exp_id
0,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00005.jpg,0
1,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,1
2,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,2
3,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00015.jpg,3
4,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,4
5,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00015.jpg,5
6,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,6
7,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,7
8,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,8
9,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,9
10,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,10
11,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,11
12,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,12
13,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,13
14,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00005.jpg,14
15,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00002.jpg,15
16,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00005.jpg,16
17,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00005.jpg,17
18,d56a6ec78cfa,valid_u/JPEGImages/d56a6ec78cfa/00005.jpg,18
19,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,0
20,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,1
21,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00006.jpg,2
22,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,3
23,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,4
24,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00006.jpg,5
25,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,6
26,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,7
27,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,8
28,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,9
29,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,10
30,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,11
31,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,12
32,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00027.jpg,13
33,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,14
34,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,15
35,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,16
36,377b1c5f365c,valid_u/JPEGImages/377b1c5f365c/00002.jpg,17
37,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00002.jpg,0
38,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00012.jpg,1
39,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00000.jpg,2
40,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00012.jpg,3
41,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00002.jpg,4
42,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00002.jpg,6
43,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00002.jpg,7
44,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00012.jpg,8
45,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00002.jpg,9
46,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00012.jpg,10
47,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00012.jpg,11
48,8a3ceef4f248,valid_u/JPEGImages/8a3ceef4f248/00012.jpg,12
49,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00012.jpg,0
50,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,1
51,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00012.jpg,2
52,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,3
53,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00025.jpg,4
54,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00017.jpg,5
55,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00012.jpg,6
56,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00025.jpg,7
57,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00012.jpg,8
58,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,9
59,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,10
60,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,11
61,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,12
62,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,13
63,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,14
64,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,15
65,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,16
66,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,17
67,16ae95660b3a,valid_u/JPEGImages/16ae95660b3a/00015.jpg,18
68,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,0
69,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00007.jpg,1
70,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,2
71,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,3
72,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,4
73,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,5
74,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00007.jpg,6
75,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,7
76,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,8
77,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,9
78,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,10
79,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,11
80,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,12
81,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,13
82,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00007.jpg,14
83,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00007.jpg,15
84,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,16
85,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,17
86,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,18
87,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,19
88,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,20
89,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,21
90,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,22
91,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,23
92,3dde46eaaf53,valid_u/JPEGImages/3dde46eaaf53/00002.jpg,24
93,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00017.jpg,0
94,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,1
95,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00015.jpg,2
96,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,3
97,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,4
98,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,5
99,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00014.jpg,6
100,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,7
101,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,8
102,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,9
103,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,10
104,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,11
105,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00015.jpg,12
106,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,13
107,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00025.jpg,14
108,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,15
109,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,16
110,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,17
111,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,18
112,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,19
113,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00012.jpg,20
114,a9402f575b5c,valid_u/JPEGImages/a9402f575b5c/00014.jpg,21
